game,reference,ID,first,second,third,fourth,fifth,sixth,seventh,eighth
3,LB028,6,6,10,16,19,24,29,33,41
3,LB030,1,1,5,9,16,29,35,43,53
3,LB030,2,8,14,20,22,30,45,51,59
3,LB030,3,3,16,22,39,43,47,51,57
3,LB030,4,1,3,9,14,16,21,33,46
3,LB030,5,2,7,16,22,23,37,47,59
3,LB031,1,6,15,21,35,39,47,52,55
3,LB032,1,6,7,9,14,15,24,28,30
3,LB032,2,7,11,22,24,30,36,43,58
3,LB032,3,3,8,9,12,22,30,45,54
3,LB033,1,5,6,8,11,12,16,26,29
3,LB033,2,4,9,10,18,29,33,46,56
3,LB033,3,4,11,20,23,30,37,48,56
3,LB033,4,1,3,13,32,42,48,56,58
3,LB034,1,3,10,12,15,16,26,27,30
3,LB034,2,6,19,21,39,41,44,46,58
3,LB034,3,1,5,7,13,17,18,20,22
3,LB034,4,9,10,13,17,25,48,51,59
3,LB034,5,1,8,14,25,33,46,53,57
3,LB034,6,4,15,21,37,43,48,52,57
3,LB035,1,6,7,10,16,17,18,26,51
3,LB035,2,6,7,10,17,21,24,56,59
3,LB035,3,8,9,10,11,13,17,37,39
3,LB035,4,3,4,5,9,14,16,17,20
3,LB035,5,3,4,5,9,13,14,16,20
3,LB036,1,7,12,22,29,38,45,50,57
3,LB036,2,7,14,21,28,35,42,49,54
3,LB036,3,2,3,9,14,19,27,34,42
3,LB036,4,6,11,14,24,29,31,41,57
3,LB036,5,2,6,9,11,16,23,39,44
3,LB036,6,12,24,26,34,40,50,55,59
3,LB036,7,4,9,12,16,17,23,26,45
3,LB036,8,7,14,21,24,31,36,42,49
3,LB036,9,8,9,13,21,35,44,50,57
3,LB036,10,2,15,24,26,29,39,55,59
3,LB036,11,3,4,8,20,32,38,50,55
3,LB036,12,2,6,9,10,16,23,26,30
3,LB036,13,9,12,14,21,34,39,49,55
3,LB037,1,3,12,17,19,28,37,50,59
3,LB038,1,2,12,28,32,38,42,44,48
3,LB039,1,2,3,4,11,14,22,28,37
3,LB042,1,3,5,11,12,23,45,49,51
3,LB042,2,1,13,20,29,34,41,48,53
3,LB042,3,1,10,11,13,14,21,32,50
3,LB042,4,7,15,17,25,33,34,48,51
3,LB042,5,2,8,16,27,39,44,49,55
3,LB043,1,1,7,15,22,24,39,45,50
3,LB043,2,2,17,25,30,35,47,53,58
3,LB043,3,8,9,13,15,22,23,31,51
3,LB044,1,1,4,5,15,16,23,29,42
3,LB045,1,3,7,11,12,14,25,31,40
3,LB045,2,10,16,28,33,34,47,51,59
3,LB047,1,7,8,9,10,12,21,28,29
3,LB047,2,8,17,21,31,32,34,38,44
3,LB048,1,1,6,10,12,21,22,23,30
3,LB048,2,2,4,8,9,14,19,36,46
3,LB048,3,4,5,11,17,18,27,36,50
3,LB048,4,1,4,7,8,9,18,44,46
3,LB048,5,1,9,23,28,30,47,48,50
3,LB050,1,1,6,9,11,13,35,40,59
3,LB051,1,1,4,9,16,18,21,36,49
3,LB051,2,6,11,21,36,37,49,56,58
3,LB052,1,3,9,11,13,24,33,47,53
3,LB053,1,5,7,11,16,19,26,31,44
3,LB053,2,1,13,19,24,39,41,43,45
3,LB053,3,2,8,14,32,44,45,48,49
3,LB053,4,1,2,10,18,24,26,30,38
3,LB053,5,1,6,9,18,23,25,27,54
3,LB054,1,3,6,8,10,22,25,35,37
3,LB054,2,11,18,22,29,33,44,47,55
3,LB055,1,4,8,10,13,17,20,21,28
3,LB056,1,1,3,5,7,9,11,13,15
3,LB056,2,2,4,6,8,10,12,14,16
3,LB056,3,29,31,38,42,44,50,55,59
3,LB057,1,4,11,12,18,26,44,50,52
